Capture number,Delta E(J),Time (s),Ecart Ã  la moyenne (J)
1,56.1923591,1.104,
2,56.270639999999986,1.1130000000000004,
3,56.1311,1.1030000000000006,
4,56.35129999999998,1.1130000000000013,
5,56.19070000000005,1.104000000000001,
6,56.35809999999998,1.1129999999999995,
7,56.14660000000009,1.1039999999999992,
8,56.419399999999996,1.1129999999999995,
9,56.1995,1.1040000000000028,
10,56.376399999999876,1.1129999999999995,
Average and ecart type,56.26360990999999,1.1084000000000003,0.0997057252371512
